State	Obama's donations ($)	Romney's donations ($)
AK	1381715.27	1442757.99
AL	2294366.01	7577573.41
AR	1325963.5	3564955.91
AZ	6619365.54	14345640.43
CA	93638609.42	79060173.72
CO	11266696.45	16963554.56
CT	8454331.02	17010449.85
DC	14060203.95	4857768.75
DE	1370555.86	1364076.26
FL	23286292.34	58758841.89
GA	9793278.88	21062034.19
HI	2612742.57	1219329.78
IA	2582561.9	3824957.98
ID	1003673.08	4401368.35
IL	96252121.49	24847177.32
IN	4016191.26	7506201.82
KS	1987405.87	5283899.54
KY	2508981.74	6382043.54
LA	2499367.72	8767761.37
MA	24411416.58	19772247.42
MD	19360071.32	11479598.01
ME	2839545.65	1165720.48
MI	9875275.23	17679279.6
MN	7233818.81	7240814.32
MO	4843060.89	11806761.98
MS	991812.22	4418312.69
MT	1138140.72	2061563.16
NC	10607641.94	14561324.3
ND	281255.77	1051871.84
NE	1094626.23	3756842.68
NH	2612833.6	3239341.49
NJ	12968323.28	18337611.94
NM	3840360.35	3509394.66
NV	2608817.49	7244556.93
NY	51726373.01	42755204.39
OH	8655565.56	20969706.62
OK	2154238.7	9440038.81
OR	7690177.74	4944881.65
PA	15322546.18	22900322.81
RI	1550860.08	1225917.48
SC	2774526.91	6982620.93
SD	411322.92	1524330.1
TN	4777246.88	12438586.49
TX	24724974.32	70054605.32
UT	2029313.37	16114398.25
VA	17110290.23	26842169.69
VT	2445994.03	569061.14
WA	16982395.31	11761049.9
WI	5220405.52	8928095.5
WV	908745.85	2054688.63
WY	775764.37	2624590.58
