Customer Key	Name	Account Balance
3	Customer#000000003	7498.12
4	Customer#000000004	2866.83
6	Customer#000000006	7638.57
7	Customer#000000007	9561.95
8	Customer#000000008	6819.74
9	Customer#000000009	8324.07
10	Customer#000000010	2753.54
12	Customer#000000012	3396.49
13	Customer#000000013	3857.34
14	Customer#000000014	5266.3
15	Customer#000000015	2788.52
16	Customer#000000016	4681.03
18	Customer#000000018	5494.43
19	Customer#000000019	8914.71
20	Customer#000000020	7603.4
21	Customer#000000021	1428.25
23	Customer#000000023	3332.02
24	Customer#000000024	9255.67
25	Customer#000000025	7133.7
26	Customer#000000026	5182.05
27	Customer#000000027	5679.84
28	Customer#000000028	1007.18
29	Customer#000000029	7618.27
30	Customer#000000030	9321.01
31	Customer#000000031	5236.89
32	Customer#000000032	3471.53
34	Customer#000000034	8589.7
35	Customer#000000035	1228.24
36	Customer#000000036	4987.27
38	Customer#000000038	6345.11
39	Customer#000000039	6264.31
40	Customer#000000040	1335.3
42	Customer#000000042	8727.01
43	Customer#000000043	9904.28
44	Customer#000000044	7315.94
45	Customer#000000045	9983.38
46	Customer#000000046	5744.59
48	Customer#000000048	3792.5
49	Customer#000000049	4573.94
50	Customer#000000050	4266.13
52	Customer#000000052	5630.28
53	Customer#000000053	4113.64
55	Customer#000000055	4572.11
56	Customer#000000056	6530.86
57	Customer#000000057	4151.93
58	Customer#000000058	6478.46
59	Customer#000000059	3458.6
60	Customer#000000060	2741.87
61	Customer#000000061	1536.24
63	Customer#000000063	9331.13
65	Customer#000000065	8795.16
67	Customer#000000067	8166.59
68	Customer#000000068	6853.37
69	Customer#000000069	1709.28
70	Customer#000000070	4867.52
73	Customer#000000073	4288.5
74	Customer#000000074	2764.43
75	Customer#000000075	6684.1
76	Customer#000000076	5745.33
77	Customer#000000077	1738.87
78	Customer#000000078	7136.97
79	Customer#000000079	5121.28
80	Customer#000000080	7383.53
81	Customer#000000081	2023.71
82	Customer#000000082	9468.34
83	Customer#000000083	6463.51
84	Customer#000000084	5174.71
85	Customer#000000085	3386.64
86	Customer#000000086	3306.32
87	Customer#000000087	6327.54
88	Customer#000000088	8031.44
89	Customer#000000089	1530.76
90	Customer#000000090	7354.23
91	Customer#000000091	4643.14
92	Customer#000000092	1182.91
93	Customer#000000093	2182.52
94	Customer#000000094	5500.11
95	Customer#000000095	5327.38
96	Customer#000000096	6323.92
97	Customer#000000097	2164.48
99	Customer#000000099	4088.65
100	Customer#000000100	9889.89
101	Customer#000000101	7470.96
102	Customer#000000102	8462.17
103	Customer#000000103	2757.45
105	Customer#000000105	9091.82
106	Customer#000000106	3288.42
107	Customer#000000107	2514.15
108	Customer#000000108	2259.38
110	Customer#000000110	7462.99
111	Customer#000000111	6505.26
112	Customer#000000112	2953.35
113	Customer#000000113	2912.0
114	Customer#000000114	1027.46
115	Customer#000000115	7508.92
116	Customer#000000116	8403.99
117	Customer#000000117	3950.83
118	Customer#000000118	3582.37
119	Customer#000000119	3930.35
121	Customer#000000121	6428.32
122	Customer#000000122	7865.46
123	Customer#000000123	5897.83
124	Customer#000000124	1842.49
126	Customer#000000126	1001.39
127	Customer#000000127	9280.71
129	Customer#000000129	9127.27
130	Customer#000000130	5073.58
131	Customer#000000131	8595.53
133	Customer#000000133	2314.67
134	Customer#000000134	4608.9
135	Customer#000000135	8732.91
137	Customer#000000137	7838.3
139	Customer#000000139	7897.78
140	Customer#000000140	9963.15
141	Customer#000000141	6706.14
142	Customer#000000142	2209.81
143	Customer#000000143	2186.5
144	Customer#000000144	6417.31
145	Customer#000000145	9748.93
146	Customer#000000146	3328.68
147	Customer#000000147	8071.4
148	Customer#000000148	2135.6
149	Customer#000000149	8959.65
150	Customer#000000150	3849.48
151	Customer#000000151	5187.02
152	Customer#000000152	1215.18
153	Customer#000000153	5454.26
154	Customer#000000154	4695.12
155	Customer#000000155	5902.85
156	Customer#000000156	9302.95
157	Customer#000000157	9768.73
158	Customer#000000158	6160.95
159	Customer#000000159	2060.06
160	Customer#000000160	4363.17
161	Customer#000000161	3714.06
162	Customer#000000162	6268.99
163	Customer#000000163	2948.61
165	Customer#000000165	3349.92
166	Customer#000000166	2042.21
167	Customer#000000167	1468.09
169	Customer#000000169	4483.83
170	Customer#000000170	7687.89
171	Customer#000000171	2379.91
172	Customer#000000172	1134.4
174	Customer#000000174	1944.73
175	Customer#000000175	1975.35
177	Customer#000000177	7457.5
178	Customer#000000178	2272.5
181	Customer#000000181	3929.96
182	Customer#000000182	4810.22
183	Customer#000000183	4419.89
185	Customer#000000185	2788.76
186	Customer#000000186	8737.5
188	Customer#000000188	9533.37
190	Customer#000000190	1657.46
191	Customer#000000191	2945.16
192	Customer#000000192	8239.96
193	Customer#000000193	8024.55
194	Customer#000000194	6696.49
195	Customer#000000195	4873.91
196	Customer#000000196	7760.33
197	Customer#000000197	9860.22
198	Customer#000000198	3824.76
199	Customer#000000199	7654.31
200	Customer#000000200	9967.6
201	Customer#000000201	4614.4
202	Customer#000000202	2237.64
203	Customer#000000203	7960.63
205	Customer#000000205	7161.52
208	Customer#000000208	6239.89
209	Customer#000000209	8873.46
210	Customer#000000210	7250.14
211	Customer#000000211	4198.72
213	Customer#000000213	9987.71
214	Customer#000000214	1526.59
215	Customer#000000215	3379.2
218	Customer#000000218	9541.19
219	Customer#000000219	9858.57
220	Customer#000000220	9131.64
221	Customer#000000221	1609.39
222	Customer#000000222	8893.76
223	Customer#000000223	7476.2
224	Customer#000000224	8465.15
225	Customer#000000225	8893.2
226	Customer#000000226	9008.61
227	Customer#000000227	1808.23
228	Customer#000000228	6868.12
229	Customer#000000229	7568.07
230	Customer#000000230	1682.83
233	Customer#000000233	3998.24
234	Customer#000000234	8383.51
236	Customer#000000236	5384.59
238	Customer#000000238	3482.32
239	Customer#000000239	5398.77
240	Customer#000000240	7139.68
241	Customer#000000241	6569.34
242	Customer#000000242	1975.41
244	Customer#000000244	2506.38
245	Customer#000000245	3720.15
246	Customer#000000246	9584.96
247	Customer#000000247	8495.92
248	Customer#000000248	8908.35
250	Customer#000000250	2869.97
251	Customer#000000251	9585.32
252	Customer#000000252	3561.74
253	Customer#000000253	9139.52
254	Customer#000000254	1915.35
255	Customer#000000255	3196.07
256	Customer#000000256	1299.92
258	Customer#000000258	6022.27
259	Customer#000000259	3335.29
260	Customer#000000260	9196.11
261	Customer#000000261	7094.22
262	Customer#000000262	1561.8
263	Customer#000000263	1162.03
264	Customer#000000264	3195.83
265	Customer#000000265	8275.8
266	Customer#000000266	5481.0
267	Customer#000000267	3166.94
268	Customer#000000268	6821.01
269	Customer#000000269	7667.35
