Disease outbreak counts in each country by disease type:
Country	Disease	Outbreak counts
--------------------------------
Afghanistan	Polio	3
Afghanistan	Crimean-Congo Hemorrhagic Fever	2
Albania	Rabies	3
Albania	Malaria	1
Albania	Respiratory Illness	1
Algeria	Gastroenteritis	7
Algeria	Foodborne Illness	5
Algeria	West Nile Virus	2
Algeria	HIV/AIDS	1
Algeria	Malaria	1
Angola	Measles	11
Angola	Cholera	5
Angola	Peste des petits ruminants	3
Angola	Diarrhea	2
Angola	Dengue	1
Angola	Gastroenteritis	1
Angola	Malaria	1
Angola	Polio	1
Angola	Rabies	1
Angola	Tuberculosis	1
Angola	Typhoid	1
Argentina	Swine Flu H1N1	49
Argentina	Influenza	13
Argentina	Trichinosis	12
Argentina	Hantavirus	11
Argentina	Meningitis	9
Argentina	Dengue	6
Argentina	Whooping Cough	4
Argentina	Hemorrhagic Fever	3
Argentina	Gastroenteritis	2
Argentina	Poisoning	2
Argentina	Rabies	2
Argentina	Anthrax	1
Argentina	Bronchitis/Bronchiolitis	1
Argentina	Brucellosis	1
Argentina	CJD	1
Argentina	Chagas	1
Argentina	E. coli	1
Argentina	Echinococcosis	1
Argentina	Equine Influenza	1
Argentina	Fever	1
Argentina	Hepatitis A	1
Argentina	Malaria	1
Argentina	Other Human Disease	1
Argentina	Other Plant Disease	1
Argentina	Pneumonia	1
Argentina	Respiratory Illness	1
Argentina	Syphilis	1
Argentina	Tetanus	1
Argentina	Yellow Fever	1
Armenia	Anthrax	6
Armenia	Chicken Pox	1
Australia	Influenza	16
Australia	Measles	6
Australia	Other Animal Disease	6
Australia	Nipah/Hendra Virus	4
Australia	Norovirus	4
Australia	Tuberculosis	4
Australia	Gastroenteritis	3
Australia	Hepatitis	3
Australia	Pests	3
Australia	Scabies	3
Australia	HIV/AIDS	2
Australia	Other Plant Disease	2
Australia	Parvovirus	2
Australia	Salmonella	2
Australia	Syphilis	2
Australia	Algae	1
Australia	Animal Die-off	1
Australia	Avian Influenza	1
Australia	Canine distemper	1
Australia	Chicken Pox	1
Australia	Chronic/Non-Infectious Disease	1
Australia	Dengue	1
Australia	Environmental	1
Australia	Gonorrhea	1
Australia	Listeriosis	1
Australia	Melioidosis	1
Australia	Respiratory Illness	1
Australia	Ross River Virus	1
Australia	Shingles	1
Australia	Swine Flu H1N1	1
Australia	Tick-borne disease	1
Australia	Tularemia	1
Australia	Typhoid	1
Australia	Vaccine Complication	1
Austria	Salmonella	3
Austria	Schmallenberg	1
Austria	West Nile Virus	1
Azerbaijan	Anthrax	2
Azerbaijan	Gastroenteritis	1
Azerbaijan	Tuberculosis	1
Bahrain	Other Animal Disease	1
Bahrain	Pneumonia	1
Bangladesh	Cholera	1
Bangladesh	Influenza	1
Bangladesh	Other Plant Disease	1
Barbados	Dengue	1
Belarus	HIV/AIDS	1
Belarus	Influenza	1
Belgium	Salmonella	4
Belgium	Melioidosis	2
Belgium	Environmental	1
Belgium	Equine Infectious Anemia	1
Belgium	Food-related toxin	1
Belgium	Foodborne Illness	1
Belgium	Gastroenteritis	1
Belgium	Legionnaires'	1
Belgium	Leptospirosis	1
Belgium	Schmallenberg	1
Belgium	West Nile Virus	1
Benin	Cholera	1
Benin	Foodborne Illness	1
Benin	Gastroenteritis	1
Benin	Malaria	1
Bhutan	Anthrax	2
Bhutan	Avian Influenza	2
Bhutan	Rabies	2
Bhutan	Chikungunya	1
Bhutan	Dengue	1
Bhutan	Foot and Mouth	1
Bhutan	Hepatitis B	1
Bhutan	Influenza	1
Bolivia	Dengue	7
Bolivia	Swine Flu H1N1	4
Bolivia	Influenza	3
Bolivia	Rabies	2
Bolivia	West Nile Virus	2
Bolivia	Brucellosis	1
Bolivia	Chagas	1
Bolivia	Diarrhea	1
Bolivia	Foot and Mouth	1
Bolivia	Malaria	1
Bolivia	St. Louis Encephalitis	1
Bolivia	Yellow Fever	1
Brazil	Dengue	67
Brazil	Swine Flu H1N1	34
Brazil	Meningitis	20
Brazil	Chicken Pox	12
Brazil	Influenza	12
Brazil	Swine Flu H3N2	9
Brazil	Tuberculosis	9
Brazil	Rocky Mountain Spotted Fever	7
Brazil	Fever	5
Brazil	Chagas	4
Brazil	Yellow Fever	4
Brazil	Antibiotic resistance	2
Brazil	Botulism	2
Brazil	Diarrhea	2
Brazil	Foodborne Illness	2
Brazil	Hantavirus	2
Brazil	Leptospirosis	2
Brazil	Malaria	2
Brazil	Other Plant Disease	2
Brazil	Pneumonia	2
Brazil	Poisoning	2
Brazil	Rabies	2
Brazil	Conjunctivitis	1
Brazil	Hospital-Related Infection	1
Brazil	Leishmaniasis	1
Brazil	Not Yet Classified	1
Brazil	Other Human Disease	1
Brazil	P. aeruginosa	1
Brazil	Pests	1
Brazil	Salmonella	1
Brazil	Staph	1
Brazil	Trypanosomiasis	1
Brazil	Whooping Cough	1
Bulgaria	Hepatitis A	2
Burkina Faso	Cholera	1
Burundi	Cholera	1
Cambodia	Dengue	10
Cambodia	Influenza	3
Cambodia	Chronic/Non-Infectious Disease	2
Cambodia	HFM-Enterovirus71	2
Cambodia	Chikungunya	1
Cambodia	Not Yet Classified	1
Cameroon	Classical Swine Fever	1
Cameroon	E. coli	1
Cameroon	Influenza	1
Canada	E. coli	31
Canada	Legionnaires'	29
Canada	Waterborne Illness	17
Canada	West Nile Virus	17
Canada	Salmonella	14
Canada	Whooping Cough	13
Canada	Norovirus	10
Canada	Animal Die-off	7
Canada	Not Yet Classified	7
Canada	Influenza	6
Canada	Listeriosis	6
Canada	Measles	6
Canada	Syphilis	6
Canada	C. difficile	5
Canada	Other Animal Disease	5
Canada	Anthrax	4
Canada	Equine Infectious Anemia	4
Canada	MRSA	4
Canada	Ringworm	4
Canada	Algae	3
Canada	Environmental	3
Canada	Lyme Disease	3
Canada	Other Plant Disease	3
Canada	Pests	3
Canada	Tuberculosis	3
Canada	Canine distemper	2
Canada	Diarrhea	2
Canada	Enterococcus	2
Canada	Hand, Foot and Mouth Disease	2
Canada	Meningitis	2
Canada	Scabies	2
Canada	Swine Flu H1N1	2
Canada	Swine Flu H3N2	2
Canada	Antibiotic resistance	1
Canada	Cholera	1
Canada	Dengue	1
Canada	Echinococcosis	1
Canada	Foodborne Illness	1
Canada	Gastroenteritis	1
Canada	Hantavirus	1
Canada	Newcastle Disease	1
Canada	P. aeruginosa	1
Canada	Parvovirus	1
Canada	Plague	1
Canada	Sexually Transmitted Infection	1
Canada	Typhoid	1
Canada	Viral Meningitis	1
Cape Verde	Cholera	2
Central African Republic	Trypanosomiasis	1
Chad	Guinea Worm	2
Chad	Diarrhea	1
Chad	Malaria	1
Chad	Polio	1
Chile	Meningitis	11
Chile	Poisoning	8
Chile	Hantavirus	6
Chile	Influenza	6
Chile	C. difficile	2
Chile	Foodborne Illness	2
Chile	Meningitis - Neisseria	2
Chile	Whooping Cough	2
Chile	Bronchitis/Bronchiolitis	1
Chile	Cholera	1
Chile	Echinococcosis	1
Chile	Other Animal Disease	1
Chile	Other Plant Disease	1
China	Not Yet Classified	56
China	Dengue	29
China	Cholera	26
China	Anthrax	20
China	Hand, Foot and Mouth Disease	20
China	HIV/AIDS	17
China	Avian Influenza	11
China	Plague	11
China	Coronavirus	9
China	Foot and Mouth	9
China	Gastroenteritis	9
China	Pests	8
China	Influenza	7
China	SARS	7
China	Diarrhea	6
China	Dysentery	6
China	Foodborne Illness	6
China	Measles	6
China	Meningitis	6
China	Poisoning	5
China	Rabies	5
China	E. coli	4
China	Food-related toxin	4
China	Pneumonia	4
China	Babesiosis	3
China	Japanese Encephalitis	3
China	Norovirus	3
China	African Swine Fever	2
China	Antibiotic resistance	2
China	Encephalitis	2
China	Enterovirus	2
China	Leprosy	2
China	Sexually Transmitted Infection	2
China	Swine Flu H1N1	2
China	Undiagnosed	2
China	Vaccine Complication	2
China	West Nile Virus	2
China	Ebola	1
China	HFM-Enterovirus71	1
China	Hepatitis	1
China	Human Bocavirus	1
China	Malaria	1
China	Other Human Disease	1
China	Other Plant Disease	1
China	Respiratory Illness	1
China	Salmonella	1
China	Syphilis	1
China	Tick-borne disease	1
China	Tuberculosis	1
China	Typhoid	1
China	Vibrio vulnificus	1
China	Whooping Cough	1
Colombia	Dengue	24
Colombia	Chicken Pox	7
Colombia	Meningitis	4
Colombia	Cholera	3
Colombia	Poisoning	3
Colombia	Influenza	1
Colombia	Respiratory Illness	1
Colombia	Tuberculosis	1
Colombia	Whooping Cough	1
Costa Rica	Dengue	9
Costa Rica	Diarrhea	4
Costa Rica	Influenza	4
Costa Rica	Whooping Cough	2
Costa Rica	Chronic/Non-Infectious Disease	1
Costa Rica	Respiratory Illness	1
Cote d'Ivoire	Cholera	3
Cote d'Ivoire	Diarrhea	1
Cote d'Ivoire	Other Plant Disease	1
Croatia	West Nile Virus	5
Cuba	Cholera	19
Cuba	Dengue	19
Cuba	Influenza	4
Cuba	Other Animal Disease	1
Cuba	Pests	1
Czech Republic	Poisoning	3
Czech Republic	Salmonella	3
Czech Republic	Not Yet Classified	1
DR Congo	Ebola	50
DR Congo	Cholera	13
DR Congo	Peste des petits ruminants	3
DR Congo	Hemorrhagic Fever	2
DR Congo	Malaria	2
DR Congo	Measles	2
DR Congo	Meningitis	2
DR Congo	Monkeypox	2
DR Congo	Not Yet Classified	2
DR Congo	Chikungunya	1
DR Congo	Onchocerciasis	1
DR Congo	Rabies	1
DR Congo	Undiagnosed	1
Denmark	Coronavirus	2
Denmark	Schmallenberg	2
Denmark	Anthrax	1
Denmark	Influenza	1
Denmark	SARS	1
Dominican Republic	Dengue	41
Dominican Republic	Cholera	22
Dominican Republic	Diarrhea	3
Dominican Republic	Other Animal Disease	3
Dominican Republic	Swine Flu H1N1	1
Dominican Republic	Typhoid	1
Dominican Republic	Whooping Cough	1
Ecuador	Dengue	6
Ecuador	Influenza	3
Ecuador	Ebola	1
Ecuador	Poisoning	1
Ecuador	Whooping Cough	1
Egypt	Mumps	27
Egypt	Foodborne Illness	17
Egypt	Gastroenteritis	12
Egypt	Waterborne Illness	12
Egypt	Avian Influenza	9
Egypt	Poisoning	6
Egypt	Food-related toxin	5
Egypt	Chicken Pox	3
Egypt	Peste des petits ruminants	3
Egypt	Conjunctivitis	2
Egypt	Foot and Mouth	2
Egypt	Not Yet Classified	2
Egypt	Undiagnosed	2
Egypt	Ringworm	1
Egypt	Typhoid	1
El Salvador	Dengue	38
El Salvador	Influenza	4
El Salvador	Whooping Cough	4
El Salvador	Other Plant Disease	2
El Salvador	Poisoning	2
El Salvador	Chronic/Non-Infectious Disease	1
El Salvador	E. coli	1
Estonia	Salmonella	3
Estonia	Animal Die-off	1
Estonia	Dysentery	1
Ethiopia	Guinea Worm	2
Ethiopia	Foot and Mouth	1
Ethiopia	Measles	1
Fiji	Typhoid	2
Fiji	Norovirus	1
Finland	Schmallenberg	2
Finland	Listeriosis	1
France	Meningitis	8
France	Food-related toxin	5
France	Scabies	5
France	Salmonella	4
France	Hantavirus	3
France	Legionnaires'	3
France	Measles	3
France	Brucellosis	2
France	Dengue	2
France	E. coli	2
France	Foodborne Illness	2
France	Hepatitis A	2
France	Schmallenberg	2
France	Amoeba	1
France	Anthrax	1
France	Bovine TB	1
France	CJD	1
France	Chikungunya	1
France	Equine Infectious Anemia	1
France	Gastroenteritis	1
