Disease distribution by Day of Week:
DOW	Disease	Disease counts
---------------------------------
Sunday	African Swine Fever	9
Sunday	Algae	3
Sunday	Amoeba	1
Sunday	Animal Die-off	9
Sunday	Anthrax	23
Sunday	Antibiotic resistance	3
Sunday	Avian Influenza	11
Sunday	BSE	5
Sunday	Bluetongue	2
Sunday	Brucellosis	2
Sunday	Chagas	2
Sunday	Chicken Pox	2
Sunday	Chikungunya	4
Sunday	Cholera	58
Sunday	Chronic Wasting Disease	1
Sunday	Conjunctivitis	1
Sunday	Coronavirus	20
Sunday	Dengue	146
Sunday	Diarrhea	13
Sunday	Dysentery	2
Sunday	E. coli	17
Sunday	Eastern Equine Encephalitis	8
Sunday	Ebola	38
Sunday	Encephalitis	3
Sunday	Environmental	3
Sunday	Epizootic Hemorrhagic Disease	19
Sunday	Equine Infectious Anemia	1
Sunday	Fever	2
Sunday	Food-related toxin	1
Sunday	Foodborne Illness	9
Sunday	Foot and Mouth	5
Sunday	Fungal Meningitis	2
Sunday	Gastroenteritis	22
Sunday	Gonorrhea	1
Sunday	HFM-Enterovirus71	1
Sunday	Hand, Foot and Mouth Disease	2
Sunday	Hantavirus	13
Sunday	Hemorrhagic Fever	1
Sunday	Hepatitis	2
Sunday	Hepatitis A	5
Sunday	Hepatitis B	1
Sunday	Hepatitis C	1
Sunday	Influenza	6
Sunday	Lassa Fever	1
Sunday	Legionnaires'	13
Sunday	Leishmaniasis	3
Sunday	Listeriosis	6
Sunday	Lumpy Skin Disease	5
Sunday	Lyme Disease	1
Sunday	MRSA	1
Sunday	Malaria	10
Sunday	Marburg Fever	4
Sunday	Measles	27
Sunday	Melioidosis	2
Sunday	Meningitis	107
Sunday	Monkeypox	1
Sunday	Mumps	19
Sunday	Mycobacteria, non-TB	4
Sunday	Newcastle Disease	2
Sunday	Norovirus	6
Sunday	Not Yet Classified	47
Sunday	Onchocerciasis	1
Sunday	Other Animal Disease	7
Sunday	Other Human Disease	3
Sunday	Other Plant Disease	1
Sunday	Paralytic Shellfish Poisoning	1
Sunday	Parvovirus	1
Sunday	Peste des petits ruminants	7
Sunday	Pests	2
Sunday	Plague	6
Sunday	Pneumonia	2
Sunday	Poisoning	6
Sunday	Polio	8
