Outbreaks per capita for each country:
Country	Incidents	Population 2012 (in 1000s)	Incidents per capita
-----------------------------------------------------------------------------
Marshall Islands	1	56.0	0.0178571428571
Bhutan	11	750.0	0.0146666666667
New Zealand	50	4461.0	0.0112082492715
Samoa	2	185.0	0.0108108108108
Iceland	3	328.0	0.00914634146341
Honduras	68	7912.0	0.00859453993933
El Salvador	52	6264.0	0.00830140485313
Dominican Republic	72	10183.0	0.00707060787587
Canada	243	34675.0	0.00700793078587
Qatar	13	1939.0	0.00670448684889
Sierra Leone	38	6126.0	0.00620306888671
Paraguay	41	6683.0	0.00613496932515
Malta	2	419.0	0.00477326968974
Costa Rica	21	4794.0	0.00438047559449
Jamaica	11	2761.0	0.00398406374502
Cape Verde	2	505.0	0.0039603960396
Cuba	44	11249.0	0.00391145879634
United States	1221	315791.0	0.00386648131201
Panama	14	3625.0	0.00386206896552
United Kingdom	235	62798.0	0.00374215739355
Estonia	5	1340.0	0.00373134328358
Barbados	1	275.0	0.00363636363636
Australia	81	22919.0	0.00353418561019
Ireland	16	4579.0	0.0034942127102
Fiji	3	876.0	0.00342465753425
Swaziland	4	1220.0	0.00327868852459
Argentina	131	41119.0	0.00318587514288
Israel	23	7695.0	0.00298895386615
Guinea	30	10481.0	0.00286232229749
Gambia	5	1825.0	0.0027397260274
Namibia	6	2364.0	0.00253807106599
Chile	44	17423.0	0.00252539746312
Mauritania	9	3623.0	0.00248412917472
Greece	28	11419.0	0.00245205359489
Bolivia	25	10248.0	0.00243950039032
Peru	70	29734.0	0.00235420730477
Armenia	7	3109.0	0.00225152782245
Mexico	253	116147.0	0.0021782740837
Jordan	13	6457.0	0.00201331887874
Haiti	20	10256.0	0.00195007800312
Guinea-Bissau	3	1580.0	0.00189873417722
Portugal	20	10699.0	0.00186933358258
Venezuela	54	29891.0	0.00180656384865
Latvia	4	2235.0	0.00178970917226
Uruguay	6	3391.0	0.0017693895606
Uganda	62	35621.0	0.00174054630695
Nicaragua	10	5955.0	0.0016792611251
Russia	229	142703.0	0.00160473150529
United Arab Emirates	13	8106.0	0.00160375030841
Albania	5	3227.0	0.00154942671212
Singapore	8	5256.0	0.00152207001522
Bahrain	2	1359.0	0.00147167034584
Switzerland	11	7734.0	0.00142229118179
Norway	7	4960.0	0.00141129032258
Saudi Arabia	40	28705.0	0.0013934854555
Belgium	15	10788.0	0.00139043381535
Angola	28	20163.0	0.00138868223975
Guyana	1	758.0	0.00131926121372
Cambodia	19	14478.0	0.00131233595801
Ukraine	58	44940.0	0.00129060970182
Denmark	7	5593.0	0.00125156445557
Egypt	104	83958.0	0.00123871459539
Serbia	12	9847.0	0.00121864527267
Tunisia	13	10705.0	0.00121438580103
Netherlands	20	16714.0	0.00119660165131
Spain	54	46772.0	0.00115453690242
Croatia	5	4387.0	0.00113973102348
Kyrgyzstan	6	5448.0	0.0011013215859
Brazil	216	198361.0	0.00108892372997
Zambia	15	13884.0	0.00108038029386
Kuwait	3	2892.0	0.00103734439834
Guatemala	15	15138.0	0.000990883868411
Colombia	45	47551.0	0.00094635233749
Ghana	23	25546.0	0.000900336647616
France	57	63458.0	0.000898231901415
Kenya	38	42749.0	0.000888909682098
Sri Lanka	18	21224.0	0.000848096494534
Nepal	26	31011.0	0.000838412176325
Ecuador	12	14865.0	0.000807265388496
Vietnam	71	89730.0	0.00079126267692
Mauritius	1	1314.0	0.00076103500761
Zimbabwe	9	13014.0	0.000691562932227
Oman	2	2904.0	0.00068870523416
Czech Republic	7	10566.0	0.00066250236608
Germany	52	81991.0	0.000634215950531
Kazakhstan	10	16381.0	0.000610463341676
Hungary	6	9950.0	0.000603015075377
Austria	5	8429.0	0.000593190176771
Malaysia	17	29322.0	0.000579769456381
Pakistan	104	179951.0	0.000577935104556
Moldova	2	3519.0	0.000568343279341
Papua New Guinea	4	7170.0	0.000557880055788
Finland	3	5403.0	0.000555247084953
Philippines	53	96471.0	0.000549387898954
Somalia	5	9797.0	0.000510360314382
Sudan	23	45722.0	0.000503040111981
Lebanon	2	4292.0	0.000465983224604
Algeria	16	36486.0	0.00043852436551
Thailand	30	69892.0	0.000429233674813
Mali	7	16319.0	0.000428947852197
Benin	4	9352.0	0.000427715996578
Azerbaijan	4	9421.0	0.000424583377561
Chad	5	11831.0	0.000422618544502
Sweden	4	9495.0	0.000421274354924
South Africa	21	50738.0	0.000413890969293
Italy	24	60964.0	0.000393674955712
Yemen	10	25569.0	0.000391098595956
Iraq	13	33703.0	0.000385722339258
Malawi	6	15883.0	0.000377762387458
Romania	8	21388.0	0.000374041518609
Slovakia	2	5480.0	0.00036496350365
Madagascar	8	21929.0	0.000364813716996
Mongolia	1	2844.0	0.000351617440225
Morocco	11	32599.0	0.000337433663609
Bulgaria	2	7398.0	0.000270343336037
China	335	1353601.0	0.000247487996832
Niger	4	16644.0	0.000240326844509
Liberia	1	4245.0	0.000235571260306
Nigeria	39	166629.0	0.000234052895954
Central African Republic	1	4576.0	0.000218531468531
Belarus	2	9527.0	0.000209929673559
India	244	1258351.0	0.0001939045624
Syria	4	21118.0	0.000189411876125
Tanzania	8	47656.0	0.000167869733087
Myanmar	8	48724.0	0.000164190132173
Japan	20	126435.0	0.000158184047139
Laos	1	6374.0	0.000156887354879
Libya	1	6469.0	0.000154583397743
Afghanistan	5	33397.0	0.000149714046172
Cameroon	3	20469.0	0.000146563095413
Indonesia	35	244769.0	0.000142991963852
Tajikistan	1	7079.0	0.000141262890239
Poland	5	38317.0	0.000130490382859
Burundi	1	8749.0	0.000114298777003
Uzbekistan	2	28077.0	7.12326815543e-05
Burkina Faso	1	17482.0	5.72016931701e-05
Iran	4	75612.0	5.29016558218e-05
Ethiopia	4	86539.0	4.62219346191e-05
Mozambique	1	24475.0	4.08580183861e-05
Turkey	2	74509.0	2.68423948785e-05
Bangladesh	3	152409.0	1.96838769364e-05
