Reports per capita for a given country:
Country	Total reports	Population 2012 (in 1000s)	Reports per capita
---------------------------------------------------------------------------
Bhutan	14	750.0	0.0186666666667
Marshall Islands	1	56.0	0.0178571428571
Samoa	3	185.0	0.0162162162162
United States	4642	315791.0	0.0146995956186
Qatar	28	1939.0	0.014440433213
Sierra Leone	88	6126.0	0.0143650016324
New Zealand	56	4461.0	0.012553239184
Iceland	4	328.0	0.0121951219512
Dominican Republic	124	10183.0	0.0121771580084
Honduras	95	7912.0	0.0120070778564
Canada	396	34675.0	0.011420331651
El Salvador	68	6264.0	0.0108556832695
Guinea	90	10481.0	0.00858696689247
Paraguay	55	6683.0	0.0082298368996
Cuba	78	11249.0	0.00693394968442
Cape Verde	3	505.0	0.00594059405941
Costa Rica	27	4794.0	0.00563204005006
Mexico	652	116147.0	0.00561357589951
United Kingdom	330	62798.0	0.00525494442498
Israel	40	7695.0	0.00519818063678
Argentina	206	41119.0	0.00500984946132
Uganda	178	35621.0	0.00499705230061
Malta	2	419.0	0.00477326968974
Greece	51	11419.0	0.0044662404764
Jamaica	12	2761.0	0.0043462513582
Portugal	45	10699.0	0.0042060005608
Swaziland	5	1220.0	0.00409836065574
Australia	92	22919.0	0.00401413674244
Ireland	18	4579.0	0.00393098929897
Switzerland	30	7734.0	0.00387897595035
Panama	14	3625.0	0.00386206896552
Gambia	7	1825.0	0.00383561643836
Estonia	5	1340.0	0.00373134328358
Barbados	1	275.0	0.00363636363636
Chile	63	17423.0	0.00361591000402
Fiji	3	876.0	0.00342465753425
Mauritania	12	3623.0	0.00331217223296
Haiti	33	10256.0	0.00321762870515
Bolivia	30	10248.0	0.00292740046838
Armenia	9	3109.0	0.00289482148601
Peru	82	29734.0	0.00275778569987
Latvia	6	2235.0	0.00268456375839
Denmark	15	5593.0	0.00268192383336
Russia	375	142703.0	0.00262783543443
Saudi Arabia	73	28705.0	0.00254311095628
Namibia	6	2364.0	0.00253807106599
Guinea-Bissau	4	1580.0	0.00253164556962
