Source Course	Target Course	Cosine Similarity
SI 505	SI 631	0.596039560679
SI 505	SI 532	0.324442842262
SI 505	SI 533	0.315789473684
SI 505	SI 520	0.287018923941
SI 505	DESCI 502	0.280975743475
SI 505	SI 539	0.266754371542
SI 505	SI 682	0.248836300897
SI 505	SI 618	0.243332131696
SI 505	RCIDIV 351	0.229415733871
SI 505	NRE 512	0.229415733871
SI 505	POLSCI 594	0.229415733871
SI 505	SI 635	0.229415733871
SI 505	SI 524	0.229415733871
SI 505	CSIB 645	0.229415733871
SI 505	IOE 536	0.205195670417
SI 505	SI 514	0.205195670417
SI 505	SI 540	0.202677836775
SI 505	SI 689	0.200782344423
SI 505	SI 658	0.199188637629
SI 505	SI 530	0.195646395218
SI 505	SI 622	0.183532587096
SI 505	SI 601	0.183532587096
SI 505	SI 575	0.173421993905
SI 505	SI 688	0.169434748417
SI 505	SI 544	0.167541563317
SI 505	SI 690	0.165113296272
SI 505	OMS 616	0.162221421131
SI 505	PHIL 605	0.162221421131
SI 505	HISTORY 796	0.162221421131
SI 505	SI 510	0.162221421131
SI 505	SI 583	0.162221421131
SI 505	SI 649	0.162221421131
SI 505	SI 625	0.150862857281
SI 505	SI 840	0.145095250022
SI 505	SI 508	0.145095250022
SI 505	SI 681	0.143753816757
SI 505	SI 621	0.141598465081
SI 505	SI 683	0.138342892773
SI 505	BIT 512	0.132453235707
SI 505	SI 699	0.132453235707
SI 505	STRATEGY 673	0.132453235707
SI 505	NRE 531	0.132453235707
SI 505	SI 648	0.127256952595
SI 505	SI 646	0.125656172488
SI 505	SI 670	0.118469775552
SI 505	SI 637	0.114707866935
SI 505	SI 676	0.114707866935
SI 505	MO 512	0.114707866935
SI 505	SI 516	0.114707866935
SI 505	SI 562	0.114707866935
SI 505	SI 580	0.106047460496
SI 505	SI 543	0.10375716958
SI 505	PUBPOL 754	0.102597835209
SI 505	SI 563	0.102597835209
SI 505	BIT 513	0.102597835209
SI 505	ARCH 531	0.0978231976089
SI 505	SI 519	0.0945380237495
SI 505	SI 708	0.0936585811582
SI 505	SI 675	0.0936585811582
SI 505	SI 579	0.0911605688194
SI 505	SI 655	0.0903712849693
SI 505	MHS 663	0.0867109969524
SI 505	SI 654	0.0852028645685
SI 505	SI 692	0.0822612745661
SI 505	BIT 648	0.0811107105654
SI 505	SI 593	0.0811107105654
SI 505	SI 507	0.0811107105654
SI 505	SI 629	0.0779286500199
SI 505	BIT 646	0.072547625011
SI 505	RACKHAM 998	0.072547625011
SI 505	SI 680	0.072547625011
SI 505	SI 605	0.0691714463866
SI 505	SI 553	0.0636284762976
SI 505	SI 647	0.0603632727439
SI 505	SI 596	0.0556414884075
SI 505	SI 684	0.0556414884075
SI 505	SI 643	0.0552368176666
SI 505	SI 666	0.0489115988045
SI 505	SI 581	0.0480986070244
SI 505	SI 791	0.0478364873235
SI 505	SI 557	0.0458831467741
SI 505	SI 702	0.0433554984762
SI 505	SI 623	0.0426014322842
SI 505	SI 551	0.0418853908292
SI 505	SI 515	0.0412042821715
