Source Course	Target Course
SI 505	SI 532
SI 505	SI 533
SI 505	SI 520
SI 505	DESCI 502
SI 505	SI 539
SI 507	SI 532
SI 507	SI 510
SI 507	SI 533
SI 507	FIN 551
SI 507	SI 524
SI 507	PUBPOL 677
SI 507	ENGLISH 484
SI 507	ECON 502
SI 507	PUBPOL 754
SI 508	SI 520
SI 508	EECS 695
SI 508	COMM 698
SI 508	COMM 799
SI 508	ELI 334
SI 508	ECON 405
SI 508	DUTCH 511
SI 508	CAAS 469
SI 508	SI 680
SI 508	SI 544
SI 508	SI 563
SI 508	SI 689
SI 508	SI 682
SI 508	ARCH 531
SI 511	ACC 315
SI 511	ACC 312
SI 511	BIOSTAT 503
SI 511	ACC 272
SI 511	BIT 601
SI 511	ACC 630
SI 511	ENGLISH 993
SI 514	SI 524
SI 514	STATS 503
SI 514	SWC 630
SI 514	SI 510
SI 514	SI 760
SI 514	MO 603
SI 514	SI 767
SI 515	SI 637
SI 515	SI 580
SI 515	SI 632
SI 515	SI 629
SI 515	SI 581
SI 515	SI 692
SI 515	HISTORY 698
SI 519	SI 681
SI 519	SI 579
SI 519	SI 626
SI 519	SI 615
SI 519	SI 690
SI 519	SI 625
SI 519	SI 647
SI 519	SI 621
SI 519	PUBPOL 585
SI 519	SI 665
SI 519	SI 580
SI 519	SI 648
SI 519	SI 533
SI 519	SI 646
SI 520	SI 682
SI 520	SI 689
SI 520	SI 622
SI 520	SI 658
SI 520	SI 688
SI 520	ARCH 531
SI 520	SI 539
SI 520	DESCI 502
SI 520	IOE 536
SI 520	SI 618
SI 520	SI 601
SI 520	SI 544
SI 530	SI 676
SI 530	OMS 616
SI 530	ENGLISH 549
SI 530	SI 540
SI 532	SI 510
SI 532	SI 625
SI 533	SI 510
SI 533	SI 575
SI 533	SI 625
SI 539	SI 682
SI 539	SI 681
SI 539	SI 622
SI 539	SI 658
SI 539	SI 543
SI 539	SI 580
SI 539	SI 688
SI 539	SI 647
SI 539	SI 690
SI 539	SI 540
SI 539	SI 575
SI 539	SI 596
SI 539	SI 620
SI 539	SI 689
SI 539	SI 581
SI 539	SI 649
SI 539	SI 666
SI 539	SI 692
SI 539	SI 665
SI 539	SI 643
SI 539	SI 579
SI 539	IOE 536
SI 539	SI 633
SI 539	SI 629
SI 540	SI 681
SI 540	SI 655
SI 540	SI 625
SI 540	SI 580
SI 540	SI 646
SI 540	SI 632
SI 540	SI 629
SI 540	SI 581
SI 540	SI 622
SI 540	SI 575
SI 540	SI 690
SI 540	SI 663
SI 540	SI 652
SI 540	SI 692
SI 540	SI 679
SI 540	SI 676
SI 540	SI 687
SI 541	SI 719
SI 541	HISTORY 798
SI 541	SOC 530
SI 541	AMCULT 425
SI 541	SOC 522
SI 541	CMPLXSYS 501
SI 541	SI 593
SI 541	BIT 581
SI 541	SI 724
SI 543	SI 557
SI 543	SI 658
SI 543	SI 689
SI 543	RACKHAM 998
SI 543	SI 544
SI 543	SI 654
SI 544	SI 622
SI 544	SI 583
SI 544	SI 682
SI 544	SI 689
SI 544	SI 688
SI 544	SI 683
SI 544	SI 681
SI 544	DESCI 502
SI 544	IOE 536
SI 544	ELI 330
SI 548	ASIANLAN 325
SI 548	ASIANLAN 326
SI 548	ASIAN 532
SI 548	EDUC 662
SI 548	ASIAN 455
SI 548	ASIANLAN 425
