Source Course	Target Course
SI 505	SI 682
SI 505	SI 618
SI 505	RCIDIV 351
SI 505	NRE 512
SI 505	POLSCI 594
SI 505	SI 635
SI 505	SI 524
SI 505	CSIB 645
SI 505	IOE 536
SI 505	SI 514
SI 505	SI 540
SI 505	SI 689
SI 505	SI 658
SI 505	SI 530
SI 505	SI 622
SI 505	SI 601
SI 505	SI 575
SI 505	SI 688
SI 505	SI 544
SI 505	SI 690
SI 505	OMS 616
SI 505	PHIL 605
SI 505	HISTORY 796
SI 505	SI 510
SI 505	SI 583
SI 505	SI 649
SI 505	SI 625
SI 505	SI 840
SI 505	SI 508
SI 505	SI 681
SI 505	SI 621
SI 505	SI 683
SI 505	BIT 512
SI 505	SI 699
SI 505	STRATEGY 673
SI 505	NRE 531
SI 505	SI 648
SI 505	SI 646
SI 505	SI 670
SI 505	SI 637
SI 505	SI 676
SI 505	MO 512
SI 505	SI 516
SI 505	SI 562
SI 505	SI 580
SI 505	SI 543
SI 505	PUBPOL 754
SI 505	SI 563
SI 505	BIT 513
SI 505	ARCH 531
SI 505	SI 519
SI 505	SI 708
SI 505	SI 675
SI 505	SI 579
SI 505	SI 655
SI 505	MHS 663
SI 505	SI 654
SI 505	SI 692
SI 505	BIT 648
SI 505	SI 593
SI 505	SI 507
SI 505	SI 629
SI 505	BIT 646
SI 505	RACKHAM 998
SI 505	SI 680
SI 505	SI 605
SI 505	SI 553
SI 505	SI 647
SI 505	SI 596
SI 505	SI 684
SI 505	SI 643
SI 505	SI 666
SI 505	SI 581
SI 505	SI 791
SI 505	SI 557
SI 505	SI 702
SI 505	SI 623
SI 505	SI 551
SI 505	SI 515
SI 505	SI 792
SI 505	SI 632
SI 505	SI 620
SI 505	SI 665
SI 507	SI 550
SI 507	SI 663
SI 507	BIT 646
SI 507	SI 575
SI 507	SI 627
SI 507	PUBPOL 534
SI 507	SI 519
SI 507	SI 681
SI 507	PUBPOL 585
SI 507	SI 676
SI 507	SI 625
SI 507	BIT 551
SI 507	SI 514
SI 507	SI 540
SI 507	ELI 321
SI 507	SI 579
SI 507	SI 623
SI 507	SI 539
SI 507	BIT 648
SI 507	SI 701
SI 507	ELI 320
SI 507	SI 665
SI 507	SI 840
SI 507	SI 508
SI 507	SI 621
SI 507	BIT 512
SI 507	SI 648
