Source Course	Target Course
SI 505	SI 631
SI 514	PHIL 605
SI 543	SI 682
SI 543	SI 688
SI 543	SI 622
SI 549	EDUC 650
SI 549	EDCURINS 575
SI 549	EDUC 402
SI 549	EDUC 649
SI 549	EDUC 606
SI 580	SI 581
SI 580	SI 632
SI 580	SI 629
SI 580	SI 655
SI 580	SI 637
SI 580	SI 647
SI 581	SI 629
SI 581	SI 632
SI 581	SI 692
SI 581	SI 655
SI 583	SI 679
SI 601	SI 618
SI 614	SI 661
SI 616	EDCURINS 575
SI 616	SI 624
SI 620	SI 643
SI 620	SI 647
SI 620	SI 666
SI 620	SI 624
SI 622	SI 682
SI 622	SI 688
SI 622	SI 689
SI 624	SI 643
SI 624	EDCURINS 575
SI 624	SI 647
SI 625	SI 646
SI 625	SI 687
SI 625	SI 686
SI 629	SI 632
SI 629	SI 692
SI 629	SI 637
SI 629	SI 655
SI 632	SI 692
SI 632	SI 637
SI 632	SI 655
SI 637	SI 692
SI 639	SI 678
SI 643	SI 647
SI 643	SI 666
SI 647	SI 666
SI 647	SI 665
SI 655	SI 692
SI 665	SI 666
SI 679	SI 687
SI 679	SI 686
SI 682	SI 688
SI 682	SI 689
SI 688	SI 689
SI 701	SI 840
