Source Course	Target Course	Cosine Similarity
SI 505	SI 631	0.596039560679
SI 505	SI 532	0.324442842262
SI 507	SI 532	0.5
SI 507	SI 510	0.5
SI 508	SI 520	0.329690236698
SI 508	EECS 695	0.316227766017
SI 511	ACC 315	0.4472135955
SI 511	ACC 312	0.4472135955
SI 514	PHIL 605	0.632455532034
SI 514	SI 524	0.4472135955
SI 515	SI 637	0.478947472071
SI 515	SI 580	0.415112901156
SI 519	SI 681	0.3335262011
SI 519	SI 579	0.327489320763
SI 520	SI 682	0.474947836683
SI 520	SI 689	0.425809345271
SI 530	SI 676	0.319801074533
SI 530	OMS 616	0.301511344578
SI 532	SI 533	0.811107105654
SI 532	SI 507	0.5
SI 533	SI 532	0.811107105654
SI 533	SI 507	0.405553552827
SI 539	SI 682	0.485071250073
SI 539	SI 681	0.483392916432
SI 540	SI 681	0.406534239989
SI 540	SI 655	0.391509983632
SI 541	SI 719	0.377964473009
SI 541	HISTORY 798	0.377964473009
SI 543	SI 682	0.523255952134
SI 543	SI 688	0.519588733318
SI 544	SI 622	0.419920627421
SI 544	SI 583	0.387298334621
SI 548	ASIANLAN 325	0.408248290464
SI 548	ASIANLAN 326	0.408248290464
SI 549	EDUC 650	0.666666666667
SI 549	EDCURINS 575	0.632455532034
SI 551	SI 622	0.328633534503
SI 551	MO 603	0.316227766017
SI 553	ES 581	0.277350098113
SI 553	PSYCH 111	0.277350098113
SI 557	SI 543	0.422115882409
SI 557	SI 682	0.325395686728
SI 563	SI 562	0.894427191
SI 563	ACC 315	0.4472135955
SI 572	SI 678	0.333333333333
SI 572	NRE 540	0.288675134595
SI 575	SI 539	0.338061701891
SI 575	SI 540	0.306087419414
SI 579	SI 647	0.441442855726
SI 579	SI 643	0.382691898588
SI 580	SI 692	0.762442575752
SI 580	SI 581	0.726854755787
SI 581	SI 580	0.726854755787
SI 581	SI 629	0.724038795976
SI 583	SI 679	0.589255650989
SI 583	SI 683	0.497468338163
SI 593	SI 792	0.363803437554
SI 593	ENGLISH 528	0.353553390593
SI 596	SI 647	0.499886865029
SI 596	SI 665	0.454186364643
SI 599	ACC 315	0.4472135955
SI 599	ACC 312	0.4472135955
SI 601	SI 618	0.565685424949
SI 601	SI 682	0.325395686728
SI 605	PSYCH 418	0.301511344578
SI 605	CSIB 574	0.301511344578
SI 614	SI 661	0.53033008589
SI 614	CMPLXSYS 501	0.5
SI 615	SI 647	0.350823207723
SI 615	SI 629	0.320811826341
SI 616	EDCURINS 575	0.553398590529
SI 616	SI 624	0.541666666667
SI 617	SI 627	0.456435464588
SI 617	SWC 993	0.424264068712
SI 618	SI 601	0.565685424949
SI 618	STRATEGY 673	0.408248290464
SI 620	SI 643	0.690665355683
SI 620	SI 647	0.670902295502
SI 621	SI 681	0.302149278315
SI 621	SI 617	0.292770021885
SI 622	SI 682	0.748410079474
SI 622	SI 688	0.701621498582
SI 623	SI 665	0.499881894412
SI 623	SI 647	0.374590846641
SI 624	SI 643	0.642057883124
SI 624	SI 616	0.541666666667
