state	% Obese Adults 2004	Percentage of Obesity Adults 2002-2004 (3-Yr. Avg)	Percentage Point Change Obesity Adults 2001-2003 to 2002-2004	Adult (3-Yr. Avgs) Obesity Ranking 2002-2004 (3-Yr. Avg)	Percentage of Obese & Overweight Adults 2004****	Percentage of Overweight & Obesity Adults 2002-2004 (3-Yr. Avg)	Adult Overweight & Obese Ranking 2002-2004 (3-Yr. Avg)	% Diabetes Adults 2004	Percentage of Diabetes Adults 2002-2004 (3-Yr. Avg)	Adult Diabetes Ranking 2002-2004 (3-Yr. Avg)	Rates of Hypertension Adults 2003*	Percentage of Hypertension Adults 1999-2003 (3-Yr. Avg)	Adult Hypertension Ranking 1999-2003 (3-Yr. Avg)	Percentage of Overweight High School Students	High School Overweight Ranking 2003	Rates of Overweight Low-Income Children Ages 2-5 2003	Overweight Low-Income Children Ages 2-5 Ranking 2003	Medical Costs Related to Obesity Per Person 2003	Ranking for Medical Costs Related to Obesity Per Person 2003
Alabama	28.9	27.7	1.5	2	64.6	63.5	2	8.1	8.4	5	33.1	32	3	13.5	7	14.7	7	$293	9
Alaska	23.7	23.5	0.5	19	62.5	61.4	12	4.2	4.2	51	20.8	21.3	47	11	18	N/A	N/A	$301	8
Arizona	21.2	20.3	0.9	40	56	56.4	43	6.6	6.4	32	22.7	20.2	51	10.8	19	N/A	N/A	$135	51
Arkansas	26.1	25	1.2	11	62.4	61.7	8	7.1	7.5	16	30.5	29.5	4	N/A	N/A	12.2	28	$243	32
California	22.2	21.5	0.1	31	60.2	58.8	40	7.1	7.2	22	23.4	23.2	38	N/A	N/A	17.6	2	$216	43
Colorado	16.8	16.4	0.6	50	52.9	52.6	50	4.3	4.5	50	19.8	21.2	48	N/A	N/A	9.4	36	$192	44
Connecticut	19.7	18.9	0.6	47	56.1	55.3	45	6	5.9	42	24.2	22.9	40	N/A	N/A	N/A	N/A	$246	30
Delaware	21.1	22.5	0.1	27	59.6	59.5	26	7	7.3	20	27.7	26.8	11	13.5	7	N/A	N/A	$253	29
DC	22.5	21.2	0.8	35	55.5	53.5	49	8.3	8	7	25.2	26.3	15	N/A	N/A	13.3	16	$660	1
Florida	22.9	20.7	1.4	38	59.7	58.4	34	7.8	8	7	29.3	28	7	12.4	12	13.4	14	$234	37
Georgia	24.7	24.5	0.7	12	59.4	59.6	25	7.3	7.4	17	28	27.1	10	11.1	16	12.4	25	$246	31
Hawaii	20.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6.7	26	23.2	23.3	37	N/A	N/A	10.1	34	$231	38
Idaho	20.8	20.9	0.1	37	58.2	58.2	35	6.1	6.2	37	23.1	23.6	35	7.4	29	11.1	32	$166	49
Illinois	23	22.9	0.7	22	59.4	59.9	24	6	6.7	26	24.4	25.3	23	N/A	N/A	14	9	$272	18
Indiana	25.5	25.2	0.3	9	62.2	61.7	8	7.7	7.6	14	27	26.2	17	11.5	15	13.7	10	$264	22
Iowa	23.5	23.4	0.3	20	60.9	61.2	13	6.4	6.5	30	25.1	24.9	26	N/A	N/A	13.6	11	$266	21
